State,Facility Name,Main Facility URL,News Releases URL,Stories URL
Washington,VA Spokane Health Care,https://www.va.gov/spokane-health-care/,https://www.va.gov/spokane-health-care/news-releases/,https://www.va.gov/spokane-health-care/stories/
Washington,VA Walla Walla Health Care,https://www.va.gov/walla-walla-health-care/,https://www.va.gov/walla-walla-health-care/news-releases/,https://www.va.gov/walla-walla-health-care/stories/
Washington DC,VA Washington DC Health Care,https://www.va.gov/washington-dc-health-care/,https://www.va.gov/washington-dc-health-care/news-releases/,https://www.va.gov/washington-dc-health-care/stories/
West Virginia,VA Beckley Health Care,https://www.va.gov/beckley-health-care/,https://www.va.gov/beckley-health-care/news-releases/,https://www.va.gov/beckley-health-care/stories/
West Virginia,VA Clarksburg Health Care,https://www.va.gov/clarksburg-health-care/,https://www.va.gov/clarksburg-health-care/news-releases/,https://www.va.gov/clarksburg-health-care/stories/
West Virginia,VA Huntington Health Care,https://www.va.gov/huntington-health-care/,https://www.va.gov/huntington-health-care/news-releases/,https://www.va.gov/huntington-health-care/stories/
West Virginia,VA Martinsburg Health Care,https://www.va.gov/martinsburg-health-care/,https://www.va.gov/martinsburg-health-care/news-releases/,https://www.va.gov/martinsburg-health-care/stories/
Wisconsin,VA Madison Health Care,https://www.va.gov/madison-health-care/,https://www.va.gov/madison-health-care/news-releases/,https://www.va.gov/madison-health-care/stories/
Wisconsin,VA Milwaukee Health Care,https://www.va.gov/milwaukee-health-care/,https://www.va.gov/milwaukee-health-care/news-releases/,https://www.va.gov/milwaukee-health-care/stories/
Wisconsin,VA Tomah Health Care,https://www.va.gov/tomah-health-care/,https://www.va.gov/tomah-health-care/news-releases/,https://www.va.gov/tomah-health-care/stories/
Wyoming,VA Cheyenne Health Care,https://www.va.gov/cheyenne-health-care/,https://www.va.gov/cheyenne-health-care/news-releases/,https://www.va.gov/cheyenne-health-care/stories/
Wyoming,VA Sheridan Health Care,https://www.va.gov/sheridan-health-care/,https://www.va.gov/sheridan-health-care/news-releases/,https://www.va.gov/sheridan-health-care/stories/
